RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/14,2/28/21,3/31/21,Bdrm,CAGR,Lat,Lng
92603,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,419928.0,485441,485776,1,15.680783372387646,34.1629905,-118.2935891
94108,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,650704.0,766376,753641,1,15.819327989377657,37.7909427,-122.4084994
90015,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,532444.0,618983,617171,1,15.91284717266041,34.0390107,-118.2672801
93667,Zip,CA,CA,Tollhouse,Fresno,Fresno County,167954.0,196781,194732,1,15.943651237838932,36.9349122,-119.3482646
96114,Zip,CA,CA,Janesville,Susanville,Lassen County,134640.0,155194,156382,1,16.14824717765894,40.2847946,-120.5048792
92637,Zip,CA,CA,Laguna Woods,Los Angeles-Long Beach-Anaheim,Orange County,284062.0,332187,330228,2,16.252085812252254,33.6108676,-117.7285406
94103,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,698251.0,821962,813054,1,16.44150885569802,36.7272444,-121.6397184
94965,Zip,CA,CA,Sausalito,San Francisco-Oakland-Hayward,Marin County,624691.0,730756,727509,1,16.459017338171993,37.8444843,-122.5089856
92618,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,764364.0,890152,892945,3,16.821959171284888,33.6587745,-117.9659037
94018,Zip,CA,CA,Half Moon Bay,San Francisco-Oakland-Hayward,San Mateo County,765703.0,903289,894818,1,16.862282111993814,37.5017068,-122.4688381
94920,Zip,CA,CA,Tiburon,San Francisco-Oakland-Hayward,Marin County,786145.0,933271,919468,1,16.959085156046278,37.8839827,-122.4580469
92101,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,641157.0,747188,750384,2,17.03592099906887,37.5641425,-122.004179
93111,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,462381.0,539115,542490,1,17.325322623550708,34.4630827,-119.8062912
92086,Zip,CA,CA,Warner Springs,San Diego-Carlsbad,San Diego County,249062.0,290672,292376,1,17.390850470967067,33.3066657,-116.6789163
92881,Zip,CA,CA,Corona,Riverside-San Bernardino-Ontario,Riverside County,352899.0,412129,415102,1,17.62628967494949,33.840139,-117.5378439
93510,Zip,CA,CA,Acton,Los Angeles-Long Beach-Anaheim,Los Angeles County,399258.0,473071,469785,1,17.66451768029695,34.4600722,-118.2292712
95421,Zip,CA,CA,Cazadero,Santa Rosa,Sonoma County,454897.0,531241,535457,1,17.709503470016287,38.6073529,-123.1913722
95433,Zip,CA,CA,Sonoma,Santa Rosa,Sonoma County,525223.0,626744,618636,1,17.785397821496773,38.3004099,-122.486703
95467,Zip,CA,CA,Hidden Valley Lake,Clearlake,Lake County,291851.0,348614,343893,1,17.831701793038228,38.7977373,-122.5429309
96021,Zip,CA,CA,Corning,Red Bluff,Tehama County,113803.0,132692,134294,1,18.00567647601557,39.8994909,-122.2200065
92673,Zip,CA,CA,San Clemente,Los Angeles-Long Beach-Anaheim,Orange County,530961.0,630064,628395,1,18.350500319232484,33.4662881,-117.6317494
93908,Zip,CA,CA,Salinas,Salinas,Monterey County,685962.0,815341,812475,1,18.443149912094256,36.5981753,-121.5826642
92101,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,389047.0,459328,461468,1,18.614974540351163,32.7269669,-117.1647094
94107,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,735441.0,882632,872512,1,18.63793288652659,32.9657005,-117.1147095
94964,Zip,CA,CA,San Quentin,San Francisco-Oakland-Hayward,Marin County,1062676.0,1231778,1262367,3,18.79133432956047,37.94018,-122.4877642
94929,Zip,CA,CA,Dillon Beach,San Francisco-Oakland-Hayward,Marin County,938829.0,1127694,1118680,2,19.1569497746661,38.2573286,-122.9691183
95589,Zip,CA,CA,Whitethorn,Eureka-Arcata-Fortuna,Humboldt County,268815.0,317838,320659,2,19.286126146234402,40.0203165,-123.9688785
92602,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,747736.0,890640,894225,3,19.591005381578526,33.7514861,-117.7549295
92242,Zip,CA,CA,Earp,Riverside-San Bernardino-Ontario,San Bernardino County,97222.0,114401,116352,3,19.676616403694638,34.1705136,-114.3222577
92211,Zip,CA,CA,Palm Desert,Riverside-San Bernardino-Ontario,Riverside County,274593.0,324211,328682,2,19.69788013532756,33.7637689,-116.3426552
94103,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,918464.0,1104258,1100656,2,19.836596752839522,37.7726402,-122.4099154
95573,Zip,CA,CA,Willow Creek,Eureka-Arcata-Fortuna,Humboldt County,210749.0,246609,253043,2,20.068422625967383,40.9089201,-123.6596995
92603,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,623614.0,746384,748842,2,20.08101165143823,33.6332102,-117.7959713
93238,Zip,CA,CA,Kernville,Bakersfield,Kern County,237541.0,286486,285245,3,20.08242787560884,35.8453422,-118.5097517
95525,Zip,CA,CA,Blue Lake,Eureka-Arcata-Fortuna,Humboldt County,306606.0,369925,368499,1,20.186493415001664,40.9309419,-123.8223634
96117,Zip,CA,CA,Litchfield,Susanville,Lassen County,151869.0,179548,182574,2,20.218082689686508,40.5756358,-120.2051096
92637,Zip,CA,CA,Laguna Woods,Los Angeles-Long Beach-Anaheim,Orange County,526225.0,630514,633777,3,20.438405624970308,33.6108676,-117.7285406
95930,Zip,CA,CA,Clipper Mills,Chico,Butte County,189586.0,228766,228420,2,20.48358001118226,39.5415926,-121.1767658
92612,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,749686.0,901058,903478,3,20.514188606963447,33.6588951,-117.8282121
92602,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,557791.0,671330,672806,2,20.61973032910176,33.7514861,-117.7549295
93645,Zip,CA,CA,O Neals,Madera,Madera County,180234.0,216863,217523,2,20.68921513144024,37.1602241,-119.638326
95467,Zip,CA,CA,Hidden Valley Lake,Clearlake,Lake County,272959.0,326207,329529,3,20.72472422598266,38.7977373,-122.5429309
