ZipCode,County,Lat,Lng,walk score,bike score
93313,Kern County,34.10885,-118.2234229,11,10
92078,San Diego County,33.115866499999996,-117.185294,7,13
91601,Los Angeles County,34.1658804,-118.36372639999999,84,63
92106,San Diego County,34.157978799999995,-117.9424743,0,2
90401,Los Angeles County,34.012637899999994,-118.49515500000001,91,82
95747,Placer County,38.790254499999996,-121.37703359999999,0,29
92036,San Diego County,33.0157829,-116.49019809999999,0,
95503,Humboldt County,40.7306343,-124.082682,0,1
91364,Los Angeles County,34.154472399999996,-118.5914696,19,11
92840,Orange County,33.7876938,-117.93368740000001,57,56
94070,San Mateo County,37.497516499999996,-122.2710602,10,25
95634,El Dorado County,38.9167124,-120.6890055,0,16
95606,Yolo County,38.768469200000006,-122.1973081,7,24
92011,San Diego County,33.105162,-117.29700259999998,9,9
92227,Imperial County,33.00010779999999,-115.3311689,0,25
94304,Santa Clara County,37.381344399999996,-122.1802812,2,14
92802,Orange County,33.8124094,-117.9192679,39,40
92880,Riverside County,33.8998939,-117.63174939999999,0,26
95946,Nevada County,39.2836679,-121.23974380000001,0,
95128,Santa Clara County,37.318914899999996,-121.9416226,53,50
91401,Los Angeles County,34.178937899999994,-118.4338345,75,77
92003,San Diego County,33.282287800000006,-117.185294,0,3
90094,Los Angeles County,33.97448060000001,-118.41777069999999,72,63
95765,Placer County,38.8113924,-121.2740813,10,48
96051,Shasta County,40.960879399999996,-122.3844187,0,
95006,Santa Cruz County,37.183323200000004,-122.15189699999999,0,7
93265,Tulare County,36.2106674,-118.7198004,0,6
95110,Santa Clara County,37.354611,-121.918866,20,62
95462,Sonoma County,38.4672117,-123.0198024,9,5
94526,Contra Costa County,33.8803536,-118.2351192,38,54
