ZipCode,County,Lat,Lng
95645,Yolo County,38.8933855,-121.7879244
95674,Sutter County,38.9578663,-121.4798948
96090,Tehama County,40.0233664,-122.1220856
95258,San Joaquin County,38.1673741,-121.3141291
93429,Santa Barbara County,34.8454172,-120.5451797
93463,Santa Barbara County,34.6182169,-120.147383
90503,Los Angeles County,33.8409696,-118.3520389
91320,Ventura County,34.1810666,-118.9470422
95051,Santa Clara County,37.3598283,-121.9814354
96141,Placer County,39.0782648,-120.1762494
94110,San Francisco County,37.7485824,-122.4184108
91344,Los Angeles County,33.8802416,-117.8604472
90808,Los Angeles County,33.8197825,-118.1064156
93285,Kern County,35.7249556,-118.5097517
92676,Orange County,33.7480914,-117.6200138
95410,Mendocino County,39.2134955,-123.7629465
93314,Kern County,35.382088,-119.2088303
95471,Sonoma County,38.5212786,-122.9816867
94506,Contra Costa County,34.2039087,-118.2935891
92706,Orange County,33.7645595,-117.8809574
92656,Orange County,33.5714289,-117.7314729
95456,Mendocino County,39.2717672,-123.7898088
94973,Marin County,38.0051761,-122.6418745
92835,Orange County,33.9041552,-117.9307584
93657,Fresno County,36.7916817,-119.4411476
92675,Orange County,33.5039207,-117.5613246
93531,Kern County,35.224821,-118.61481
95432,Mendocino County,39.0963141,-123.6399562
93001,Ventura County,33.81567709999999,-117.2088167
92679,Orange County,33.5941759,-117.5730639
95717,Placer County,39.1884372,-120.844152
95003,Santa Cruz County,37.9193365,-122.0780632
91301,Los Angeles County,34.1129907,-118.754782
95023,San Benito County,36.9119865,-121.3084088
91906,San Diego County,32.6804705,-116.4901981
90013,Los Angeles County,34.0445905,-118.2405557
95551,Humboldt County,40.6691318,-124.1816517
91361,Ventura County,34.1384626,-118.8946309
92648,Orange County,33.6781963,-118.0127534
95460,Mendocino County,39.2908752,-123.6958809
91741,Los Angeles County,34.1568319,-117.8428651
93401,San Luis Obispo County,35.2454989,-120.5969758
91367,Los Angeles County,34.1785255,-118.597305
94002,San Mateo County,37.5178022,-122.2900288
95360,Stanislaus County,37.2490019,-121.2168466
93108,Santa Barbara County,34.4381407,-119.6151426
92649,Orange County,33.721051,-118.0478826
95313,Stanislaus County,37.4121145,-121.0220422
93460,Santa Barbara County,34.6627116,-120.0202964
95470,Mendocino County,39.28811839999999,-123.2475594
92627,Orange County,33.6496252,-117.9190418
95501,Humboldt County,40.8134774,-124.1460963
92808,Orange County,33.8416068,-117.702148
93311,Kern County,35.1268513,-119.1855785
