Zip_Code,zip_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,MsaName,Unnamed: 2,Current_Rent,rent_value_mm,rent_value_yy,Median_ROI,lat,lng
92394,"victorville, ca",390950.0,-0.0297,,44.0,0.0732,-0.3803,36.0,0.44,-0.2,40.0,-0.2308,0.25,8.0,0.0,-0.6667,4.0,0.0,-0.5,125.0,-0.0157,0.7606,179.4472855,0.0358,0.3118,2201.0,0.0389,-0.0626,387358.789,-0.0015,0.2354,169.0,0.006,0.1901,2.8409090910000003,-0.2567,1.8409,Riverside, CA,1742.0,0.008685582,0.102531646,5.35,34.5639731,-117.3498955
91730,"rancho cucamonga, ca",551292.5,0.0328,,31.0,0.0,,13.5,0.17391304300000002,-0.727272727,68.0,0.1333,0.3077,0.0,-1.0,-1.0,0.0,,-1.0,121.0,-0.0472,0.8615,322.0547718,-0.0405,0.0602,1651.0,0.0798,0.0941,564661.662,0.10099999999999999,0.2111,152.0,-0.038,0.027000000000000003,3.903225806,-0.1935,3.1201,Riverside, CA,2446.0,0.009492365,0.113843352,5.32,34.0965313,-117.5848025
92584,"menifee, ca",544450.0,0.0321,,52.0,-0.0714,,22.0,1.0,-0.42105263200000004,84.0,-0.125,0.05,4.0,,-0.5,4.0,-0.5,-0.9,157.0,0.0129,0.1805,221.32428450000003,0.0163,0.1749,2656.5,0.0227,0.1021,618234.6889,0.0394,0.3486,209.0,-0.0095,-0.3258,3.019230769,0.2514,2.2678,Riverside, CA,2414.0,0.007512521,0.092307692,5.32,33.6557387,-117.185294
94804,"richmond, ca",517000.0,-0.0264,0.0371,23.0,0.15,-0.2333,23.0,0.27777777800000003,0.069767442,36.0,0.125,0.2857,0.0,,,4.0,,-0.5,60.0,-0.0323,0.9355,509.91241349999996,-0.0433,0.027000000000000003,1052.5,0.0631,-0.0379,529116.7279,-0.0117,-0.0787,83.0,0.0122,0.3607,2.6086956519999998,-0.4913,1.5754,San Francisco, CA,2277.0,-0.000877578,-0.007410636,5.29,37.9158152,-122.3390936
92122,"san diego, ca",550000.0,0.0628,-0.0435,39.0,0.1143,-0.1522,56.0,-0.410526316,1.24,36.0,0.5,0.2857,0.0,,,0.0,-1.0,-1.0,55.0,0.0,1.2917,507.3720728999999,0.0549,-0.0291,1176.5,0.0204,0.0833,704305.3668,0.0899,0.003,94.0,0.0444,0.3429,1.41025641,-0.1612,0.8885,San Diego, CA,2415.0,0.003323639,0.015986538,5.27,32.8563846,-117.2029363
92336,"fontana, ca",605050.0,0.0263,,52.0,0.1304,-0.6364,24.0,0.297297297,-0.32394366199999997,60.0,0.0,-0.25,16.0,1.0,1.0,0.0,-1.0,-1.0,134.0,0.0469,0.0984,261.1850945,0.0054,0.1619,2210.0,-0.0441,-0.0065,624882.6661,0.0078,0.25,186.0,0.069,-0.2981,2.576923077,-0.2057,1.7238,Riverside, CA,2652.0,0.011827547,0.175011077,5.26,34.145515,-117.4673845
92114,"san diego, ca",567500.0,0.0235,,23.0,0.15,-0.2581,55.0,-0.06779661,0.8032786890000001,28.0,0.0,0.4,0.0,-1.0,,0.0,,-1.0,79.0,0.026000000000000002,0.2951,419.0613027,0.0637,0.1405,1402.5,0.0097,0.047,574142.0679,0.0143,0.1669,102.0,0.0515,0.1087,3.4347826089999995,-0.4152,1.4669999999999999,San Diego, CA,2467.0,0.004070004,0.050234142,5.22,32.7040143,-117.0499859
92504,"riverside, ca",520000.0,-0.2381,0.2235,36.0,0.0588,,27.5,-0.083333333,-0.47619047600000003,44.0,0.0,0.1,4.0,-0.6667,0.0,8.0,1.0,-0.3333,89.0,-0.0632,0.5893,313.8661202,0.0156,0.0934,1703.5,-0.2768,0.0506,751569.1272,-0.0984,0.1405,125.0,-0.031,-0.1135,2.472222222,-0.3219,1.8134,Riverside, CA,2247.0,0.004470273,0.058407913,5.19,33.9012386,-117.3910247
95678,"roseville, ca",467000.0,-0.1036,0.1053,19.0,-0.1739,-0.6833,15.0,0.304347826,-0.523809524,48.0,-0.0769,0.5,0.0,,,4.0,0.0,-0.8,56.0,0.2727,0.0566,298.1391147,-0.0059,0.1371,1547.0,0.0393,-0.0561,510964.2866,-0.0156,0.1629,75.0,0.1194,-0.3363,2.947368421,1.0343,2.064,Sacramento, CA,1996.0,0.010632911,0.121348315,5.13,38.7637052,-121.2912463
92346,"highland, ca",441950.0,0.0338,,32.0,-0.0588,,18.0,0.384615385,-0.590909091,40.0,-0.1667,0.0,0.0,-1.0,,4.0,0.0,-0.8,79.0,0.1618,0.4107,259.33609959999995,-0.023,0.1952,1654.0,0.0599,0.0261,476707.7262,0.0195,0.2483,111.0,0.0882,-0.0976,2.46875,0.4688,1.6329,Riverside, CA,1883.0,0.011278195,0.130930931,5.11,34.1286356,-117.2089374
95820,"sacramento, ca",399000.0,-0.0124,,28.0,0.12,-0.2632,18.5,-0.27450980399999997,-0.26,40.0,0.1111,-0.2857,0.0,,,8.0,0.0,-0.3333,53.0,0.2045,-0.0364,315.7894737,-0.0101,0.1234,1140.0,0.0224,0.0816,404197.5753,-0.0219,0.271,81.0,0.1739,-0.129,1.892857143,0.1329,0.4455,Sacramento, CA,1697.0,0.005331754,0.071338384,5.10,38.5359933,-121.4513314
92532,"lake elsinore, ca",520000.0,-0.0076,,20.0,0.1765,-0.5652,21.5,1.15,-0.586538462,44.0,0.2222,0.5714,4.0,,0.0,0.0,,-1.0,66.0,0.0313,0.1579,207.74304919999997,0.0494,0.2267,2724.5,-0.0134,0.0705,527363.0324,0.0264,0.2431,86.0,0.0617,-0.165,3.3,-0.4647,2.0609,Riverside, CA,2191.0,0.012476895,0.154373024,5.06,33.663476,-117.2617329
91764,"ontario, ca",492499.5,0.0155,,19.0,0.0,-0.4242,38.0,-0.095238095,-0.35042735,24.0,0.2,1.0,0.0,,,0.0,,-1.0,44.0,0.0233,0.2571,353.3278554,-0.0113,0.16399999999999998,1302.0,-0.0348,-0.07,521459.2905,-0.0584,0.1639,63.0,0.0161,-0.0735,2.3157894740000002,0.0526,1.2552,Riverside, CA,2073.0,0.008268482,0.09335443,5.05,34.0739866,-117.6141457
95842,"sacramento, ca",367500.0,0.0338,0.1504,19.0,0.3571,-0.2692,14.5,1.4166666669999999,-0.6184210529999999,36.0,-0.1,0.8,0.0,,,0.0,,-1.0,47.0,0.09300000000000001,0.09300000000000001,274.1040087,0.0064,0.2225,1154.5,0.0,-0.0009,340706.2396,0.0257,0.1951,66.0,0.1579,-0.0435,2.473684211,-0.5977,0.8198,Sacramento, CA,1542.0,0.007843137,0.090523338,5.04,38.6804131,-121.3484448
91354,"valencia, ca",730444.0,0.0224,0.1743,24.0,0.0909,,23.0,0.642857143,-0.369863014,48.0,0.3333,0.5,0.0,,,0.0,,-1.0,83.0,0.0,1.3056,344.81574589999997,0.0577,0.1245,1998.5,-0.1126,0.0393,770067.36,0.013999999999999999,0.1926,107.0,0.019,0.3896,3.458333333,-0.3144,2.5803,Los Angeles-Long Beach-Anaheim, CA,3061.0,0.002620373,0.024431058,5.03,34.4627169,-118.5622893
95219,"stockton, ca",525000.0,-0.0455,0.1428,19.0,0.1875,-0.5870000000000001,25.0,-0.090909091,-0.46808510600000003,28.0,0.1667,0.1667,0.0,,,0.0,,-1.0,40.0,-0.1489,0.0256,257.4462041,-0.0096,0.1794,2294.5,0.035,0.0013,692184.7652,-0.1181,0.2579,59.0,-0.0635,-0.3059,2.105263158,-0.8322,1.2574,Stockton, CA,2198.0,0.010110294,0.116302692,5.02,38.0268596,-121.5141615
95376,"tracy, ca",504000.0,-0.04,0.0736,23.0,0.2778,-0.54,8.0,1.0,,52.0,0.0,0.3,0.0,,,0.0,,-1.0,72.0,-0.04,0.0435,339.60915919999997,0.0038,0.1716,1550.5,-0.0623,-0.0193,548009.8572,0.04,0.1365,95.0,0.0215,-0.2017,3.130434783,-1.0362,1.7504,Stockton, CA,2101.0,0.007190796,0.078542094,5.00,37.7345254,-121.43419
92154,"san diego, ca",575000.0,0.0455,,36.0,0.3846,-0.0526,20.5,-0.430555556,-0.33870967700000004,56.0,0.5556,0.75,0.0,,-1.0,4.0,,0.0,87.0,0.0116,0.2794,372.5047581,-0.0165,0.2551,1479.5,0.1058,-0.0034,581704.9332,0.0949,0.1757,123.0,0.0982,0.1604,2.416666667,-0.8909999999999999,0.6272,San Diego, CA,2385.0,0.005904682,0.069027342,4.98,32.5967198,-116.9028125
